SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,묵1동 122-171 (주택가골목사거리)_C-MK01-0029,37.6088,127.0809,1.0,2022-12-01
중랑구,묵1동 122-173 (선경그린맨션 앞)_C-MK01-0014,37.6091,127.0805,1.0,2022-12-01
중랑구,묵1동 122-171(고정2)_C-MK01-0029-B,37.6088,127.0809,1.0,2022-12-01
중랑구,묵1동 122-255(고정3)_C-MK01-0004-C,37.6111,127.0800,1.0,2022-12-01
중랑구,묵1동 172-36 (SM해그린보조)_C-MK01-0010-1,37.6136,127.0795,1.0,2022-12-01
중랑구,묵1동 156-13 (한빛드림타운 앞)_C-MK01-0050,37.6177,127.0813,1.0,2022-12-01
중랑구,묵1동 128-73 (나인빌라앞)_C-MK01-0015,37.6074,127.0811,1.0,2022-12-01
중랑구,묵1동 122-206(고정1)_C-MK01-0036-A,37.6091,127.0792,1.0,2022-12-01
중랑구,묵1동 122-255(고정2)_C-MK01-0004-B,37.6111,127.0800,1.0,2022-12-01
중랑구,묵1동 122-255 (선경리치빌앞)_C-MK01-0004,37.6111,127.0800,1.0,2022-12-01
중랑구,묵1동 122-206(고정2)_C-MK01-0036-B,37.6091,127.0792,1.0,2022-12-01
중랑구,묵1동 128-12 (주택가 골목사거리)_C-MK01-0052,37.6080,127.0810,1.0,2022-12-01
중랑구,묵1동 122-347(GS편의점앞)_C-MK01-0065,37.6098,127.0786,1.0,2022-12-01
중랑구,묵1동 122-295(고정2)_C-MK01-0045-B,37.6106,127.0819,1.0,2022-12-01
중랑구,묵1동 122-295 (등산로 입구)_C-MK01-0045,37.6106,127.0819,1.0,2022-12-01
중랑구,묵1동 122-84(고정3)_C-MK01-0003-C,37.6104,127.0810,1.0,2022-12-01
중랑구,묵1동 122-347(고정2)_C-MK01-0065-B,37.6098,127.0786,1.0,2022-12-01
중랑구,묵1동 122-84(고정1)_C-MK01-0003-A,37.6104,127.0810,1.0,2022-12-01
중랑구,묵1동 122-84 (송원아트빌라앞)_C-MK01-0003,37.6104,127.0810,1.0,2022-12-01
중랑구,묵1동 128-73(고정2)_C-MK01-0015-B,37.6074,127.0811,1.0,2022-12-01
중랑구,묵1동 156-13 (고정)_C-MK01-0050-A,37.6177,127.0813,1.0,2022-12-01
중랑구,묵1동 154-26 (성지옵티마약국앞 소공원)_C-MK01-0023,37.6174,127.0820,1.0,2022-12-01
중랑구,묵1동 128-73(고정1)_C-MK01-0015-A,37.6074,127.0811,1.0,2022-12-01
중랑구,묵1동 13-1(고정3)_C-MK01-0031-C,37.6167,127.0849,1.0,2022-12-01
중랑구,묵1동 128-73(고정3)_C-MK01-0015-C,37.6074,127.0811,1.0,2022-12-01
중랑구,묵1동 13-1(고정2)_C-MK01-0031-B,37.6167,127.0849,1.0,2022-12-01
중랑구,묵1동 13-1 (원묵어린이공원)_C-MK01-0031,37.6167,127.0849,1.0,2022-12-01
중랑구,묵1동 155-25(고정3)_C-MK01-0041-C,37.6182,127.0807,1.0,2022-12-01
중랑구,묵1동 155-1 (고정)_C-MK01-0046-A,37.6182,127.0818,1.0,2022-12-01
중랑구,묵1동 154-26(고정2)_C-MK01-0023-B,37.6174,127.0820,1.0,2022-12-01
중랑구,묵1동 154-26(고정1)_C-MK01-0023-A,37.6174,127.0820,1.0,2022-12-01
중랑구,묵1동 155-25(고정2)_C-MK01-0041-B,37.6182,127.0807,1.0,2022-12-01
중랑구,묵1동 155-1 (맞은편 산책로 진입로)_C-MK01-0046,37.6182,127.0818,1.0,2022-12-01
중랑구,묵1동 155-25(고정1)_C-MK01-0041-A,37.6182,127.0807,1.0,2022-12-01
중랑구,묵1동 155-25 (한성2차빌라 앞)_C-MK01-0041,37.6182,127.0807,1.0,2022-12-01
중랑구,묵1동 157-9 (고정)_C-MK01-0053-A,37.6171,127.0800,1.0,2022-12-01
중랑구,묵1동 169-21(고정3)_C-MK01-0068-C,37.6157,127.0770,1.0,2022-12-01
중랑구,묵1동 163-3(고정1)_C-MK01-0019-A,37.6162,127.0784,1.0,2022-12-01
중랑구,묵1동 159-33(고정2)_C-MK01-0008-B,37.6176,127.0804,1.0,2022-12-01
중랑구,묵1동 159-33(고정1)_C-MK01-0008-A,37.6176,127.0804,1.0,2022-12-01
중랑구,묵1동 157-9 (현성빌라앞)_C-MK01-0053,37.6171,127.0800,1.0,2022-12-01
중랑구,묵1동 159-33 (둥지어린이집)_C-MK01-0008,37.6176,127.0804,1.0,2022-12-01
중랑구,묵1동 158-19 (보조)_C-MK01-0053-2,37.6169,127.0797,1.0,2022-12-01
중랑구,묵1동 163-3 (경동빌딩)_C-MK01-0019,37.6162,127.0784,1.0,2022-12-01
중랑구,묵1동 160-19(고정1)_C-MK01-0042-A,37.6174,127.0783,1.0,2022-12-01
중랑구,묵1동 159-33(고정3)_C-MK01-0008-C,37.6176,127.0804,1.0,2022-12-01
중랑구,묵1동 160-19 (한국야쿠르트 태릉점 앞)_C-MK01-0042,37.6174,127.0783,1.0,2022-12-01
중랑구,묵1동 162-1(장충왕족발보쌈집앞)_C-MK01-0064,37.6166,127.0794,1.0,2022-12-01
중랑구,묵1동 160-19(고정2)_C-MK01-0042-B,37.6174,127.0783,1.0,2022-12-01
중랑구,묵1동 162-1(고정2)_C-MK01-0064-B,37.6166,127.0794,1.0,2022-12-01
