관리번호,위도,경도,지역구
올_35-36,37.505075,126.982968,서초구
올_35-37,37.505059,126.982499,서초구
올_35-38,37.505053,126.981979,서초구
올_35-39,37.505062,126.98151,서초구
올_35-40,37.505065,126.981065,서초구
올_35A-01,37.508643,126.995629,서초구
올_35A-02,37.508489,126.995144,서초구
올_35A-03,37.508287,126.994684,서초구
올_35A-04,37.508079,126.994229,서초구
올_35A-05,37.50787,126.993769,서초구
올_35A-06,37.507641,126.993304,서초구
올_35A-07,37.507417,126.992849,서초구
올_35A-08,37.507205,126.992394,서초구
올_35A-09,37.507002,126.99193,서초구
올_35A-10,37.506805,126.991438,서초구
올_35A-11,37.50663,126.990981,서초구
올_35A-12,37.50647,126.990494,서초구
올_35A-13,37.506313,126.990026,서초구
올_35A-14,37.506173,126.989545,서초구
올_35A-15,37.506052,126.989084,서초구
올_35A-16,37.505944,126.988621,서초구
올_35A-17,37.505844,126.98816,서초구
올_35A-18,37.50575,126.987725,서초구
올_35A-19,37.505648,126.987242,서초구
올_35A-20,37.505556,126.986762,서초구
올_35A-21,37.505457,126.986279,서초구
올_35A-22,37.505353,126.985783,서초구
올_35A-23,37.505249,126.985287,서초구
올_35A-24,37.505152,126.984783,서초구
올_35A-25,37.505067,126.984278,서초구
올_35A-26,37.505004,126.983777,서초구
올_35A-27,37.50496,126.983274,서초구
올_35A-28,37.504931,126.982772,서초구
올_35A-29,37.504921,126.982274,서초구
올_35A-30,37.504921,126.981776,서초구
올_35A-31,37.504926,126.981317,서초구
올_35A-32,37.504935,126.980856,서초구
올_35A-33,37.505652,126.987577,서초구
올_35A-34,37.505726,126.987961,서초구
올_35A-35,37.505812,126.988408,서초구
올_35A-36,37.505909,126.988856,서초구
올_35A-37,37.506011,126.989311,서초구
올_35A-38,37.506119,126.989755,서초구
올_35A-39,37.506246,126.990183,서초구
올_35A-40,37.506385,126.990601,서초구
올_35A-41,37.506538,126.990998,서초구
올_35A-42,37.506698,126.991386,서초구
올_35A-43,37.506868,126.991775,서초구
올_35A-44,37.507052,126.992196,서초구
올_35A-45,37.507244,126.992628,서초구
올_35A-46,37.507437,126.993065,서초구
올_35A-47,37.507634,126.993508,서초구
올_35A-48,37.507838,126.993967,서초구
올_35A-49,37.508026,126.994418,서초구
올_35A-50,37.508223,126.994874,서초구
올_35A-51,37.508406,126.995307,서초구
올_35A-52,37.508573,126.995699,서초구
올_35A-53,37.508742,126.996071,서초구
올_36-01,37.509221,126.997529,서초구
올_36-02,37.509386,126.997918,서초구
올_36-03,37.509558,126.99829,서초구
올_36-04,37.509726,126.998362,서초구
올_36-05,37.509565,126.998004,서초구
올_36-06,37.509409,126.997655,서초구
올_36-07,37.509239,126.997255,서초구
올_36-08,37.509988,126.99928,서초구
올_36-09,37.510145,126.999635,서초구
올_36-10,37.510304,126.999985,서초구
올_36-11,37.510458,127.000346,서초구
올_36-12,37.510474,127.000081,서초구
올_36-13,37.51032,126.999743,서초구
올_36-14,37.51016,126.999387,서초구
올_37-01,37.509284,126.996142,서초구
올_37-02,37.509467,126.996526,서초구
올_37-03,37.509642,126.996912,서초구
올_37-04,37.509805,126.997295,서초구
올_37-05,37.509976,126.997681,서초구
올_37-06,37.510144,126.998043,서초구
올_37-07,37.510627,126.99906,서초구
올_37-08,37.510837,126.999503,서초구
