연번,시도청,경찰서,치안센터명,주소
673,경남청,거창서,가북치안센터,경남 거창군 가북면 용암로 19
674,경남청,거창서,주상치안센터,경남 거창군 주상면 당대고개길 3
675,경남청,거창서,남하치안센터, 경남 거창군 남하면 영서로 81
676,경남청,합천서,율곡치안센터,경남 합천군 율곡면 대야로 1459
677,경남청,합천서,대양치안센터,경남 합천군 대양면 대야로 270
678,경남청,합천서,적중치안센터,경남 합천군 적중면 적중로 92
679,경남청,합천서,쌍책치안센터,경남 합천군 쌍책면 성산큰길 44
680,경남청,합천서,용주치안센터,경남 합천군 용주면 황계폭포로 1151
681,경남청,합천서,청덕치안센터,경남 합천군 청덕면 동부로 1707
682,경남청,합천서,덕곡치안센터,경남 합천군 덕곡면 율지포두길 5
683,경남청,합천서,쌍백치안센터,경남 합천군 쌍백면 쌍백중앙로 52
684,경남청,합천서,묘산치안센터,경남 합천군 묘산면 묘산로 167-1
685,경남청,합천서,가회치안센터,경남 합천군 가회면 황매산로 48
686,경남청,합천서,해인치안센터,경남 합천군 가야면 가야산로 1810
687,경남청,창녕서,장마치안센터,경남 창녕군 장마면 강리길 30
688,경남청,창녕서,도천치안센터,경남 창녕군 도천면 영산도천로 348
689,경남청,창녕서,길곡치안센터,경남 창녕군 길곡면 낙동로 1504
690,경남청,창녕서,성산치안센터,경남 창녕군 성산면 성산로 249
691,경남청,창녕서,대지치안센터,경남 창녕군 대지면 우포2로 977
692,경남청,창녕서,고암치안센터,경남 창녕군 고암면 창밀로 388
693,경남청,고성서,대가치안센터,고성군 대가면 유흥3길 14
694,경남청,고성서,삼산치안센터,고성군 삼산면 공룡로 2141-5
695,경남청,고성서,마암치안센터,고성군 마암면 옥천로 233-10
696,경남청,고성서,구만치안센터,고성군 구만면 영회로 1769
697,경남청,고성서,하일치안센터,고성군 하일면 공룡로 1040
698,경남청,고성서,개천치안센터,고성군 개천면 옥천로 1274
699,경남청,고성서,영현치안센터,고성군 영현면 대가로 1677
700,경남청,하동서,적량치안센터,하동군 적량면 대티길 1
701,경남청,하동서,청암치안센터,하동군 청암면 청학로 668
702,경남청,하동서,북천치안센터,하동군 북천면 경서대로 2450
703,경남청,하동서,양보치안센터,하동군 양보면 진양로 724
704,경남청,하동서,고전치안센터,하동군 고전면 하동읍성로 333
705,경남청,남해서,이동치안센터,남해군 이동면 무림로 86
706,경남청,남해서,서면치안센터,남해군 서면 남서대로 1637
707,경남청,남해서,창선치안센터,남해군 창선면 동부대로 3017
708,경남청,남해서,상주치안센터,남해군 상주면 남해대로 717
709,경남청,남해서,대교치안센터,남해군 설천면 노량로 110
710,경남청,남해서,설천치안센터,남해군 설천면 설천로 698
711,경남청,함양서,지곡치안센터,함양군 지곡면 지곡창촌길 20-40
712,경남청,함양서,휴천치안센터,함양군 휴천면 함양남서로 526
713,경남청,함양서,서하치안센터,함양군 서하면 함양남서로 3945
