년도,경찰서,출동수
yr,polist,gut_cnt
2022,강서,124100
2022,관악,127156
2022,광진,97974
2022,구로,86579
2022,금천,64525
2022,남대문,31652
2022,노원,93587
2022,도봉,59677
2022,동대문,88538
2022,동작,75203
2022,마포,118499
2022,방배,27920
2022,서대문,66645
2022,서부,45792
2022,서초,93345
2022,성동,69288
2022,성북,43794
2022,송파,139981
2022,수서,82927
2022,양천,75542
2022,영등포,125151
2022,용산,86771
2022,은평,47086
2022,종로,49461
2022,종암,36522
2022,중랑,89183
2022,중부,46089
2022,혜화,34508
2023,강남,120466
2023,강동,91280
2023,강북,78078
2023,강서,121481
2023,관악,120381
2023,광진,87499
2023,구로,87039
2023,금천,64927
2023,남대문,32558
2023,노원,92050
2023,도봉,59285
2023,동대문,87216
2023,동작,73385
2023,마포,118999
2023,방배,26764
2023,서대문,66234
2023,서부,44809
2023,서초,87073
2023,성동,66802
2023,성북,42821
2023,송파,133883
2023,수서,79283
2023,양천,73549
2023,영등포,125790
2023,용산,81320
2023,은평,45544
2023,종로,50301
2023,종암,36617
2023,중랑,87617
2023,중부,45743
2023,혜화,33413
