지역구,지역구별 주점 수
강남구,165
강동구,98
강북구,69
강서구,126
관악구,190
광진구,10
구로구,32
금천구,44
노원구,20
도봉구,21
동대문구,51
동작구,41
마포구,42
서대문구,27
서초구,36
성동구,20
성북구,8
송파구,88
양천구,3
영등포구,130
용산구,21
은평구,76
종로구,187
중구,207
중랑구,17
