지역구,지역구별 지구대/파출소 수
강남구,14
강동구,9
강북구,9
강서구,11
관악구,9
광진구,10
구로구,8
금천구,5
노원구,8
도봉구,8
동대문구,10
동작구,7
마포구,8
서대문구,8
서초구,6
성동구,9
성북구,10
송파구,11
양천구,8
영등포구,10
용산구,7
은평구,9
종로구,19
중구,15
중랑구,8
